Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Model Resolution (A),Evaporation Rate (A/sec),Evaporation Time (sec),Grid space (A),Raycast Length (A)
0.0,500.0,0.0,500.0,0.0,0.0,0.0,10.0,1.0,10.0,2.5,5000.0
800.0,500.0,10.1276,503.68,0.1,2.8255733788191,0.0,,,,,
700.0,0.0,20.2553,507.36,0.2,5.63999551039369,0.0,,,,,
1300.0,0.0,30.0,507.36,0.3,8.43215915635761,0.0,,,,,
,,40.0,507.36,0.4,11.1910449224185,0.0,,,,,
,,50.0,507.36,0.5,13.9057647468726,0.0,,,,,
,,60.0,507.36,0.6,16.5656048708105,0.0,,,,,
,,70.0,507.36,0.7,19.1600681204283,0.0,,,,,
,,80.0,507.36,0.8,21.6789153345772,0.0,,,,,
,,90.0,507.36,0.9,24.1122057740548,0.0,,,,,
,,100.0,507.36,1.0,26.450336353161305,0.0,,,,,
,,110.0,507.36,1.1,28.684079538691005,0.0,,,,,
,,120.0,507.36,1.2,30.804619766790996,0.0,,,,,
,,130.0,507.36,1.3,32.8035882339635,0.0,,,,,
,,140.0,507.36,1.4,34.6730959249105,0.0,,,,,
,,150.0,507.36,1.5,36.4057647468726,0.0,,,,,
,,160.0,507.36,1.6,37.994756647590705,0.0,,,,,
,,170.0,507.36,1.7,39.4338006019739,0.0,,,,,
,,180.0,507.36,1.8,40.7172173609709,0.0,,,,,
,,190.0,507.36,1.9,41.8399418649713,0.0,,,,,
,,200.0,507.36,2.0,42.7975432332819,0.0,,,,,
,,210.0,507.36,2.1,43.5862422507884,0.0,,,,,
,,220.0,507.36,2.2,44.202926282791,0.0,,,,,
,,230.0,507.36,2.3,44.6451615591515,0.0,,,,,
,,240.0,507.36,2.4,44.9112027792722,0.0,,,,,
,,250.0,507.36,2.5,45.0,0.0,,,,,
,,260.0,507.36,2.6,44.9112027792722,0.0,,,,,
,,270.0,507.36,2.7,44.6451615591515,0.0,,,,,
,,280.0,507.36,2.8,44.202926282791,0.0,,,,,
,,290.0,507.36,2.9,43.5862422507884,0.0,,,,,
,,300.0,507.36,3.0,42.7975432332819,0.0,,,,,
,,310.0,507.36,3.1,41.8399418649713,0.0,,,,,
,,320.0,507.36,3.2,40.7172173609709,0.0,,,,,
,,330.0,507.36,3.3,39.4338006019738,0.0,,,,,
,,340.0,507.36,3.4,37.994756647590705,0.0,,,,,
,,350.0,507.36,3.5,36.4057647468726,0.0,,,,,
,,360.0,507.36,3.6,34.6730959249105,0.0,,,,,
,,370.0,507.36,3.7,32.8035882339635,0.0,,,,,
,,380.0,507.36,3.8,30.804619766790996,0.0,,,,,
,,390.0,507.36,3.9,28.684079538691005,0.0,,,,,
,,400.0,507.36,4.0,26.450336353161305,0.0,,,,,
,,410.0,507.36,4.1,24.1122057740548,0.0,,,,,
,,420.0,507.36,4.2,21.6789153345772,0.0,,,,,
,,430.0,507.36,4.3,19.1600681204283,0.0,,,,,
,,440.0,507.36,4.4,16.5656048708105,0.0,,,,,
,,450.0,507.36,4.5,13.9057647468726,0.0,,,,,
,,460.0,507.36,4.6,11.1910449224184,0.0,,,,,
,,470.0,507.36,4.7,8.4321591563576,0.0,,,,,
,,480.0,507.36,4.8,5.63999551039368,0.0,,,,,
,,490.0,507.36,4.9,2.82557337881909,0.0,,,,,
,,500.0,507.36,5.0,0.0,0.0,,,,,
,,510.0,507.36,5.1,-2.82557337881914,0.0,,,,,
,,520.0,507.36,5.2,-5.6399955103937,0.0,,,,,
,,530.0,507.36,5.3,-8.43215915635762,0.0,,,,,
,,540.0,507.36,5.4,-11.1910449224185,0.0,,,,,
,,550.0,507.36,5.5,-13.9057647468726,0.0,,,,,
,,560.0,507.36,5.6,-16.5656048708105,0.0,,,,,
,,570.0,507.36,5.7,-19.1600681204283,0.0,,,,,
,,580.0,507.36,5.8,-21.6789153345772,0.0,,,,,
,,590.0,507.36,5.9,-24.1122057740549,0.0,,,,,
,,600.0,507.36,6.0,-26.450336353161305,0.0,,,,,
,,610.0,507.36,6.1,-28.6840795386911,0.0,,,,,
,,620.0,507.36,6.2,-30.804619766790996,0.0,,,,,
,,630.0,507.36,6.3,-32.8035882339635,0.0,,,,,
,,640.0,507.36,6.4,-34.6730959249105,0.0,,,,,
,,650.0,507.36,6.5,-36.4057647468726,0.0,,,,,
,,660.0,507.36,6.6,-37.994756647590705,0.0,,,,,
,,670.0,507.36,6.7,-39.4338006019739,0.0,,,,,
,,680.0,507.36,6.8,-40.7172173609709,0.0,,,,,
